CO,NO2,Ozone,SO2,AQI,AQI_Level
0.2,26.34,18.63,10.77,24.8490566,Good
1.35,41.29,21.42,11.96,38.95283019,Good
0.72,37.06,27.57,11.72,34.96226415,Good
0.95,42.57,22.84,10.51,40.16037736,Good
0.33,29.66,19.29,10.54,27.98113208,Good
0.21,24.65,21,10.36,23.25471698,Good
0.38,23.41,43.42,11.71,40.2037037,Good
1.16,24.83,10.84,13.58,23.4245283,Good
0.42,17.54,8.03,14.16,20.22857143,Good
0.98,32.47,7.99,14.67,30.63207547,Good
0.33,30,8.02,13.26,28.30188679,Good
0.21,21.88,17.52,14.21,20.64150943,Good
0.75,44.01,37.29,14.87,41.51886792,Good
0.31,45.91,27.42,11.83,43.31132075,Good
0.52,55.93,32.95,11.34,53.05586957,Moderate
0.36,59.77,38.28,11.86,57.14630435,Moderate
0.56,61.79,44.79,13.05,59.29804348,Moderate
0.87,67.51,45.83,13.75,65.39108696,Moderate
0.86,69.49,42.34,15.76,67.50021739,Moderate
0.65,83.76,50.9,19.06,82.70086957,Moderate
0.65,65.74,48.4,17.67,63.50565217,Moderate
1.05,64.77,42.69,16.03,62.4723913,Moderate
0.35,26.53,61.18,13.99,71.188,Moderate
0.74,41.99,39.34,15.95,39.61320755,Good
0.32,21.99,36.19,11.91,33.50925926,Good
0.32,13.78,40.45,13.26,37.4537037,Good
0.3,14.94,33.3,12.16,30.83333333,Good
0.16,12.92,42,10.73,38.88888889,Good
0.19,11.22,51.01,11.5,47.23148148,Good
0.23,12.22,62.17,12.8,74.422,Moderate
0.25,14.94,62.77,14.31,76.382,Moderate
0.32,11.47,62.12,15.45,74.25866667,Moderate
0.38,8.4,63.34,13.23,78.244,Moderate
0.72,15.67,74.79,9.51,114.265,Unhealthy for sensitive groups
